RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
139,Andrew Ogletree (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
140,Seth Green (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
141,Chris Pierce Jr. (ARI) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
142,Leroy Watson (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
143,Jake Tonges (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
144,Rodney Williams (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
145,Davis Allen (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
146,Austin Allen (GB) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
147,Will Mallory (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
148,Derrick Deese Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
149,Noah Gindorff (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
150,Nikola Kalinic (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
151,John FitzPatrick (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
152,Tanner Conner (MIA) ,0,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2022
153,Gerrit Prince (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
154,Nick Muse (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
155,Lucas Krull (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
156,Cameron Latu (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2022
157,Dre Miller (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
158,Brayden Willis (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
159,Joel Wilson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
160,Michael Ezeike (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
161,Christian Sims (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
162,Joel Honigford (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
163,Blake Whiteheart (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
164,Henry Pearson (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
165,Camren McDonald (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
166,Griffin Hebert (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
167,Christian Trahan (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
168,Patrick Murtagh (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
169,Brady Russell (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
170,E.J. Jenkins (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
171,Thomas Greaney (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
172,Travis Vokolek (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
173,Julian Hill (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
174,Johnny Lumpkin (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
175,Ryan Miller (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
176,Tanner Taula (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
177,Nate Adkins (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
178,John Samuel Shenker (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
179,Jordan Murray (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
180,Princeton Fant (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
181,Izaiah Gathings (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
182,Justin Rigg (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
183,Zaire Mitchell-Paden (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
184,Cole Fotheringham (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
185,Tucker Fisk (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
186,Leonard Taylor (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
187,Thomas Odukoya (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
188,Dalton Kincaid (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3%,2022
189,Luke Schoonmaker (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2022
190,Luke Musgrave (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5%,2022
191,Tucker Kraft (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%,2022
192,Brenton Strange (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%,2022
193,Payne Durham (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
194,Zack Kuntz (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2022
195,Ben Sims (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
196,Ryan Jones (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
197,Kevin Rader (TEN) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.1%,2022
198,Dominique Dafney (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
199,Elijah Higgins (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
200,Sammis Reyes (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
201,Ben Mason (BAL) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
202,Hunter Kampmoyer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
203,Zach Davidson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
204,Bernhard Seikovits (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
205,Nick Guggemos (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
206,Hunter Thedford (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
207,Hunter Long (LAR) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.1%,2022
208,Kenny Yeboah (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
209,Miller Forristall (NO) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
210,Matt Bushman (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
211,Josh Whyle (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2022
212,Darnell Washington (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2022
213,Sam LaPorta (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5%,2022
214,Michael Mayer (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6%,2022
215,Jordan Thomas (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
216,Dominique Curry (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
217,James Dearth (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
218,Drake Dunsmore (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
219,Darnell Dinkins (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
220,Derek Fine (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
221,J.P. Foschi (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
222,Brad Cottam (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
223,Marquez Branson (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
224,Joey Haynos (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
225,Justin Snow (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
226,Keith Zinger (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
227,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
228,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
229,J.P. Holtz (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022
230,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2022
231,David Wells (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
232,Troy Fumagalli (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
233,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
234,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.2%,2022
235,Jesse James (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2022
236,Nick Boyle (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2022
237,Drew Sample (CIN) ,2,2,-2,-1.0,2,0,0,0,0,0,0,2,-0.2,-0.1,0.1%,2022
1,Travis Kelce (KC) ,110,152,"1,338",12.2,52,29,12,2,5,0,1,17,206.3,12.1,100.0%,2023
2,George Kittle (SF) ,60,86,765,12.8,54,20,11,0,0,0,1,15,140.5,9.4,98.9%,2023
3,Taysom Hill (NO) ,9,13,77,8.6,30,2,2,96,575,7,0,16,136.8,8.6,24.2%,2023
4,T.J. Hockenson (MIN) ,86,129,914,10.6,81,12,6,0,0,0,1,17,129.4,7.6,99.8%,2023
5,Mark Andrews (BAL) ,73,113,847,11.6,36,8,5,3,8,0,0,15,117.5,7.8,99.9%,2023
6,Evan Engram (JAC) ,73,98,766,10.5,36,11,4,2,13,0,0,17,103.9,6.1,94.5%,2023
7,Cole Kmet (CHI) ,50,69,544,10.9,50,9,7,2,9,0,0,17,97.3,5.7,86.7%,2023
8,Juwan Johnson (NO) ,42,65,508,12.1,41,10,7,0,0,0,0,16,92.8,5.8,39.1%,2023
9,Dawson Knox (BUF) ,48,65,517,10.8,45,10,6,0,0,0,0,15,87.7,5.8,53.7%,2023
10,Dallas Goedert (PHI) ,55,69,702,12.8,31,12,3,0,0,0,1,12,86.2,7.2,96.8%,2023
11,Dalton Schultz (HOU) ,57,89,577,10.1,30,6,5,0,0,0,1,15,85.7,5.7,88.7%,2023
12,Pat Freiermuth (PIT) ,63,98,732,11.6,57,13,2,0,0,0,0,15,85.2,5.7,92.9%,2023
13,David Njoku (CLE) ,58,80,628,10.8,38,10,4,2,-8,0,1,14,84.0,6.0,92.3%,2023
14,Gerald Everett (LAC) ,58,87,555,9.6,26,4,4,1,0,0,0,15,81.5,5.4,56.9%,2023
15,Tyler Higbee (LAR) ,72,108,620,8.6,26,4,3,0,0,0,0,16,80.0,5.0,72.6%,2023
16,Jordan Akins (CLE) ,37,54,495,13.4,46,13,5,0,0,0,1,15,79.5,5.3,0.6%,2023
17,Tyler Conklin (NYJ) ,58,87,552,9.5,30,7,3,2,3,0,0,17,73.5,4.3,10.3%,2023
18,Noah Fant (SEA) ,50,63,486,9.7,51,8,4,0,0,0,0,17,72.6,4.3,8.4%,2023
19,Zach Ertz (ARI) ,47,69,406,8.6,32,3,4,0,0,0,0,10,68.6,6.9,37.8%,2023
20,Mike Gesicki (NE) ,32,52,362,11.3,32,7,5,0,0,0,0,17,66.2,3.9,39.1%,2023
21,Chigoziem Okonkwo (TEN) ,32,46,450,14.1,48,14,3,3,2,0,0,16,65.2,4.1,55.1%,2023
22,Hunter Henry (NE) ,41,59,509,12.4,39,15,2,0,0,0,0,16,62.9,3.9,5.9%,2023
23,Robert Tonyan (CHI) ,53,67,470,8.9,24,5,2,0,0,0,0,17,59.0,3.5,1.8%,2023
24,Darren Waller (NYG) ,28,43,388,13.9,34,11,3,0,0,0,0,9,56.8,6.3,97.8%,2023
25,Austin Hooper (LV) ,41,60,444,10.8,24,2,2,0,0,0,0,17,56.4,3.3,2.3%,2023
26,Hayden Hurst (CAR) ,54,70,439,8.1,29,5,2,0,0,0,0,14,55.9,4.0,10.7%,2023
27,Isaiah Likely (BAL) ,36,60,373,10.4,34,5,3,0,0,0,0,14,55.3,4.0,6.7%,2023
28,Greg Dulcich (DEN) ,33,55,411,12.5,39,9,2,0,0,0,0,10,53.1,5.3,54.0%,2023
29,Will Dissly (SEA) ,34,38,349,10.3,38,2,3,0,0,0,0,15,52.9,3.5,1.3%,2023
30,Foster Moreau (NO) ,33,54,420,12.7,33,10,2,0,2,0,1,14,52.2,3.7,0.7%,2023
31,Cade Otton (TB) ,42,65,391,9.3,35,5,2,0,0,0,0,16,51.1,3.2,2.7%,2023
32,Jelani Woods (IND) ,25,40,312,12.5,36,6,3,0,0,0,0,12,49.2,4.1,4.5%,2023
