RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
219,Darnell Dinkins (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
220,Derek Fine (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
221,J.P. Foschi (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
222,Brad Cottam (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
223,Marquez Branson (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
224,Joey Haynos (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
225,Justin Snow (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
226,Keith Zinger (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
227,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
228,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
229,J.P. Holtz (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
230,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2023
231,David Wells (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
232,Troy Fumagalli (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
233,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
234,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.2%,2023
235,Jesse James (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2023
236,Nick Boyle (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
237,Drew Sample (CIN) ,2,2,-2,-1.0,2,0,0,0,0,0,0,2,-0.2,-0.1,0.1%,2023
