RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
190,Daniel Helm (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
191,Brandon Dillon (MIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
192,Tyree Jackson (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
193,Ryan Becker (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
194,Tre' McKitty (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
195,Connor Davis (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
196,Paul Quessenberry (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
197,Dominique Dafney (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
198,Hunter Thedford (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
199,Hunter Long (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.90%
200,Tommy Tremble (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.80%
201,Kenny Yeboah (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
202,Quintin Morris (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
203,Nick Eubanks (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
204,Pro Wells (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
205,Miller Forristall (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
206,John Bates (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
207,Tony Poljan (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
208,Kylen Granson (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.20%
