RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
204,Elijah Holyfield (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
205,Jacques Patrick (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
206,Aca'Cedric Ware (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
207,Ryquell Armstead (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.60%
209,Andrew Beck (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.00%
210,Jordan Scarlett (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
211,Damarea Crockett (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
212,Mike Weber (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
213,Kerrith Whyte Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
214,Christian Wade (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
215,CJ Marable (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
216,Stevie Scott III (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
217,Elijah Mitchell (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.10%
218,Chris Evans (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.00%
219,Khalil Herbert (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.40%
220,Javian Hawkins (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.90%
221,Javonte Williams (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,76.40%
222,Michael Carter (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,67.10%
223,Rhamondre Stevenson (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,4.60%
224,Jake Funk (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
225,Dedrick Mills (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
226,Josh Johnson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
227,Adam Prentice (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
228,Tre Harbison (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
229,Garrett Groshek (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
230,B.J. Emmons (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
